# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
5.8           	(0.000000e+00 -3.549669e-08 0.000000e+00)	(0.000000e+00 -3.549669e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.044939e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.9           	(0.000000e+00 -3.222232e-08 0.000000e+00)	(0.000000e+00 -3.222232e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.478202e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6             	(0.000000e+00 -2.854029e-08 0.000000e+00)	(0.000000e+00 -2.854029e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.857270e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.1           	(0.000000e+00 -2.450778e-08 0.000000e+00)	(0.000000e+00 -2.450778e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.176678e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.2           	(0.000000e+00 -2.018693e-08 0.000000e+00)	(0.000000e+00 -2.018693e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.431796e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.3           	(0.000000e+00 -1.564418e-08 0.000000e+00)	(0.000000e+00 -1.564418e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.618747e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.4           	(0.000000e+00 -1.094944e-08 0.000000e+00)	(0.000000e+00 -1.094944e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.734872e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.5           	(0.000000e+00 -6.174438e-09 0.000000e+00)	(0.000000e+00 -6.174438e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.778486e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.6           	(0.000000e+00 -1.392464e-09 0.000000e+00)	(0.000000e+00 -1.392464e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.749030e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.7           	(0.000000e+00 3.323622e-09 0.000000e+00)	(0.000000e+00 3.323622e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.647388e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.8           	(0.000000e+00 7.902312e-09 0.000000e+00)	(0.000000e+00 7.902312e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.475363e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
6.9           	(0.000000e+00 1.227435e-08 0.000000e+00)	(0.000000e+00 1.227435e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.235986e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7             	(0.000000e+00 1.637428e-08 0.000000e+00)	(0.000000e+00 1.637428e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.933009e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7.1           	(0.000000e+00 2.014037e-08 0.000000e+00)	(0.000000e+00 2.014037e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.571017e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7.2           	(0.000000e+00 2.351632e-08 0.000000e+00)	(0.000000e+00 2.351632e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.155747e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7.3           	(0.000000e+00 2.645186e-08 0.000000e+00)	(0.000000e+00 2.645186e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.694025e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7.4           	(0.000000e+00 2.890437e-08 0.000000e+00)	(0.000000e+00 2.890437e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.193206e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
